t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
new,modoc_east,chromaiodes,laevissimus,0.529617600339834,0.519230881424132,0.539757994814175,0.284150543146843,0.275497034463491,0.29299907238568,0.186231856513323,0.177398444252377,0.196197103759098,4628
new,modoc_east,modoc_west,pennsylvanicus,0.0402485856022308,0.0326274848746759,0.0479688850475367,0.0259622986591404,0.016637856525497,0.0363007857175423,0.933789115738629,0.917458945548833,0.949438202247191,4628
new,modoc_east,modoc_west,chromaiodes,0.0282421491497097,0.0218236819360415,0.0352203899696651,0.0129797968223001,0.00929127052722558,0.0177182368193604,0.95877805402799,0.948789769060119,0.967588591184097,4628
new,modoc_east,modoc_west,novaeboracensis,0.138175122203274,0.0959377700950735,0.184528954191876,0.128602216159346,0.110630942091616,0.141097666378565,0.73322266163738,0.680855514076164,0.79019014693172,4628
new,modoc_east,modoc_west,laevissimus,0.0256792350862647,0.0175021607605877,0.0337078651685393,0.010322853636857,0.00648228316384684,0.0142610198789974,0.963997911276878,0.953759723422645,0.974503235631641,4628
new,modoc_east,pennsylvanicus,chromaiodes,0.684165357773444,0.67523768366465,0.692739844425238,0.0378397068678404,0.0343560933448574,0.0412705272255834,0.277994935358716,0.269014693171997,0.287597296369338,4628
new,modoc_east,pennsylvanicus,novaeboracensis,0.117666119976196,0.105661169908995,0.131590319792567,0.830196136073505,0.807476231633535,0.850907519446845,0.0521377439502997,0.040838375108038,0.0641746033220837,4628
new,modoc_east,pennsylvanicus,modoc_west,0.0405249528788742,0.0324114018125752,0.0490492653414002,0.932357424783105,0.915082108902334,0.949006050129646,0.0271176223380211,0.017286084701815,0.0375972423503117,4628
new,modoc_east,pennsylvanicus,laevissimus,0.402370723487835,0.391529818496111,0.412489196197061,0.176335809195156,0.16745898173271,0.184961106309421,0.421293467317009,0.409680207433016,0.434312971977738,4628
new,modoc_east,novaeboracensis,pennsylvanicus,0.12243775449517,0.112359526283594,0.131374272120629,0.0531593394302614,0.0434312878133103,0.0639585272166221,0.824402906074568,0.807476231633535,0.841400172860847,4628
new,modoc_east,novaeboracensis,modoc_west,0.13660299012804,0.0944252376836646,0.186041526802404,0.739882884826784,0.681287666100331,0.791054451166811,0.123514125045176,0.108470181503889,0.140233392444553,4628
new,modoc_east,novaeboracensis,laevissimus,0.0558368476712509,0.0464563526361279,0.0648228176318064,0.033292550785905,0.0283059698154645,0.0378133184557732,0.910870601542844,0.899740903141941,0.92307712253179,4628
new,laevissimus,herculeanus,modoc_east,0.952644976735487,0.941011235955056,0.963699222126188,0.019158571497843,0.0149092480553155,0.0231201382886776,0.0281964517666696,0.0185825370392098,0.0380293863439931,4628
new,laevissimus,herculeanus,chromaiodes,0.189887014117004,0.181503889369058,0.198357821953328,0.526262005019622,0.516205704407952,0.535868625756266,0.283850980863375,0.275280898876405,0.292350907519447,4628
new,laevissimus,herculeanus,modoc_west,0.953726610681983,0.948357821953328,0.959377700950735,0.0264793912262274,0.0220397532325512,0.0304667308700801,0.0197939980917899,0.016637856525497,0.0233362143474503,4628
new,laevissimus,herculeanus,pennsylvanicus,0.422395727995968,0.413137424373379,0.432368193604149,0.39853825089492,0.389152981849611,0.407519534900505,0.179066021109112,0.171780466724287,0.186257562662057,4628
new,laevissimus,herculeanus,novaeboracensis,0.945589812961205,0.938202247191011,0.951382886776145,0.0332126258283748,0.0278738115816768,0.038893698983081,0.0211975612104204,0.0175021569787906,0.024632676022618,4628
